,PicoE_CA,NanoE_CA,Cry_CA,Archaeplastida,Picobiliphyta,Filosa-Chlorarachnea,Bacillariophyta,Bolidophyceae,Pelagophyceae,Phaeophyceae,Raphidophyceae,MOCH-2,Apicomplexa,Ichthyosporea,Ascomycota,Basidiomycota,Chytridiomycota,Cryptomycota,Oomycota,Pirsonia,Dino-Group-I,Dino-Group-II,Dino-Group-III,Dino-Group-V,Amoebozoa,Apusozoa,Ciliophora,Centroheliozoa,Telonemia,Choanoflagellida,Acantharea,Filosa-Thecofilosea,Bicoecea,MAST,MOCH-3,MOCH-4,Cryptophyta,Haptophyta,Dinophyceae,Chrysophyceae-Synurophyceae,Dictyochophyceae,Euglyphida,Phototrophs,Parasites,Phagotrophs,Mixotrophs,Syndiniales+Dinophyceae,Heterotroph,Bacillariophyta+Dinophyceae,Photo/Parasite,Photo/Phago,Photo/Mixo,Photo/Hetero,Parasite/Phago,Parasite/Mixo,Parasite/Hetero,Phago/Mixo,Phago/Hetero,Mixo/Hetero,Bacillariophyta/Dinophyceae,Ascomycota/Fungi,Syndiniales/Dinophyceae,Chao1_18S,Shannon_18S,Simpson_18S,OTUrichness_18S
denovo1270D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Xanthomonadales; D_4__JTB255 marine benthic group; D_5__uncultured bacterium; D_6__; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,-0.587969925,-0.69924812,0,0,0.696240602,0,0,0.576393485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663576908,0,0,0,0.820784063,0.597474768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.598496241,0,0,0,0,0.637081655
denovo1309D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Ectothiorhodospiraceae; D_5__Thioalkalispira,0,0,-0.561784966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578529561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo1344D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__T9d,0,0,-0.680578458,0,0,0,0,0,0,0,0,0,0,0,-0.703050478,0,0,0.570450916,0,0,0,0,0,0,0,0.562582468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.640927483,0,0,0,0,0
denovo1360D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__SAR116 clade; D_5__uncultured alpha proteobacterium; D_6__; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,-0.648120301,-0.715789474,-0.603986504,0,0.803007519,0,0,0.620671691,0,0,0,0,0,0,-0.595488722,0,0,0,0,0,0,0,0,0.593966493,0.604562803,0.77203076,0,0.571135288,0,0.751506876,0.575704432,0,0,0,0,0,0.61747058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.693233083,0,0,0,0,0.602482179
denovo1385D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella,0,0,0,0,0,0.571905077,0,0.755343947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709289257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo1458D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__SAR324 clade(Marine group B); D_4__uncultured bacterium; D_5__; D_6__; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,-0.708270677,-0.821052632,0,0,0.786466165,0.564632133,0,0.566294947,0,0,0,0,0,0,-0.565413534,0,0,0,0,0,0,0,0.691729323,0.668684006,0.712141648,0.661166822,0,0.597443154,0,0.707832128,0,0,0,0,0,0,0.677711612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.621052632,0,0,0,0,0.634073005
denovo1501D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__BD2-11 terrestrial group; D_4__uncultured bacterium; D_5__; D_6__; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617537491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo1562D_0__Bacteria; D_1__Bacteroidetes; D_2__Flavobacteriia; D_3__Flavobacteriales; D_4__Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.704824559,0,0,0,0,0,0,0,0,0,0,0,-0.579861069,0,0,0,0,0,0,0,0,0,0,-0.641580841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denovo1589D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Enterococcaceae; D_5__Enterococcus; D_6__Enterococcus faecium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,-0.589164786,0,0,0,0,0,0.570891353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.563369728,0,0,0,0,0
denovo1629D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Alteromonadaceae; D_5__BD1-7 clade; D_6__uncultured bacterium; D_7__; D_8__; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__; D_15__; D_16__,0,0,0,0,0,0,0,0,0.598502023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
